"filename", "language", "Markdown", "Python", "JSON", "pip requirements", "Shell Script", "JavaScript", "JSON with Comments", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/vdemirev/Desktop/Biufet_No9/frontend/public/favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/Users/vdemirev/Desktop/Biufet_No9/frontend/public/file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/vdemirev/Desktop/Biufet_No9/frontend/public/globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/vdemirev/Desktop/Biufet_No9/frontend/public/hero.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 132
"/Users/vdemirev/Desktop/Biufet_No9/frontend/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/vdemirev/Desktop/Biufet_No9/frontend/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/vdemirev/Desktop/Biufet_No9/frontend/public/window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/(auth)/forgot-password/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 2, 63
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/(auth)/login/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 8, 155
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/(auth)/register/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 179, 0, 0, 7, 186
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/contact/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 184, 0, 0, 21, 205
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/dashboard/[groupId]/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 905, 0, 33, 70, 1008
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/dashboard/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 264, 0, 1, 20, 285
"/Users/vdemirev/Desktop/Biufet_No9/frontend/src/app/deposit-money/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 1, 17, 149
